class,region,date,hour
trash,종로구,"지역별 격일제,
(일화목/월수금) 
토요일을 제외한 매일 수거
(일부지역)","골목길 
19:00~21:00
간선 및 대로변 22:00~01:00"
trash,중구,월~토,19:00~24:00
trash,용산구,월 ~ 토,18:00~24:00
trash,성동구,일화목/월수금,19:00~24:00
trash,광진구,일화목/월수금,19:00~24:00
trash,동대문구,일화목/월수금,18:00~21:00
trash,중랑구,일화목/월수금,18:00~20:00
trash,성북구,월수금,18:00~24:00
trash,강북구,격일,일몰후~12:00
trash,도봉구,일~금,18:00~24:00
trash,노원구,월~금,20:00-24:00
trash,은평구,일화목/월수금,"일반주택: 18시 ~ 24시
공동주택: 19시 ~ 24시"
trash,서대문구,일화목/월수금,18:00~23:00
trash,마포구,일화목/월수금,00:00~07:00
trash,양천구,"토,공휴일 
전일이외
매일","일몰후~
2300"
trash,강서구,월수금/화목토,일몰후 24시
trash,구로구,월수금/일화목,20:00-24:00
trash,금천구,"월,수,금/화,목,토",일몰후~24:00
trash,영등포구,일~금(토요일 제외),20:00~24:00
trash,동작구,"일,화,목/월,수,금",해진후 ~ 21:00
trash,관악구,일화목/월수금,일몰후~24:00
trash,서초구,격일,20:00~익일05:00
trash,강남구,월~토,20:00~05:00
trash,송파구,일화목/월수금,일몰후
trash,강동구,월수금/화목토,일몰후~익일03시
recycle,종로구,"지역별 격일제,
(일화목/월수금) 
토요일을 제외한 매일 수거
(일부지역)","지역별 격일제
(일화목/월수금) 
또는 토요일을 제외한 매일 수거(일부지역)"
recycle,중구,월~토,19:00~24:00
recycle,용산구,월 ~ 토,18:00~24:00
recycle,성동구,일화목/월수금,19:00~24:00
recycle,광진구,일화목/월수금,19:00~24:00
recycle,동대문구,일화목/월수금,18:00~21:00
recycle,중랑구,일화목/월수금,18:00~20:00
recycle,성북구,매일,18:00~24:00
recycle,강북구,주1회,자체처리
recycle,도봉구,일~금,18:00~24:00
recycle,노원구,매일,22:00-24:00
recycle,은평구,월수금/화목토,18시 ~ 22시
recycle,서대문구,일화목/월수금,18:00~23:00
recycle,마포구,일화목/월수금,일몰 후~24:00
recycle,양천구,지역별구분,"일몰후~
2300"
recycle,강서구,월수금/화목토,수거전일 일몰후~
recycle,구로구,월수금/일화목,20:00-24:00
recycle,금천구,"월,수,금/화,목,토",일몰후~24:00
recycle,영등포구,일~금(토요일 제외),20:00~24:00
recycle,동작구,"일,화,목/월,수,금",해진후 ~ 21:00
recycle,관악구,일화목/월수금,일몰후~24:00
recycle,서초구,격일,20:00~익일05:00
recycle,강남구,월~토,20:00~05:00
recycle,송파구,일화목/월수금,일몰후
recycle,강동구,월수금/화목토,일몰후~익일03시
